pair_id,jd_id,jd_title,truth_courses,gap_skill,gap_description,mapped_canonical_skill,mapped_canonical_skill_id,mapped_skill_description_proxy,mapping_score,below_top1_threshold_0_87,heuristic_generic_or_cross_domain,why_likely_wrong
0,695cb6e11fa95d1eeecca0b2,Data Engineer (DBA),CNTT1167; CNTT1186,BigQuery,Inadequate experience in operating Google BigQuery databases for cloud-based data management and engineering tasks.,Database Concepts,be2dcb53ae5ec42e,"Understand basic concepts of databases, data models, and database management systems.",0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,Python,Missing proficiency in Python to automate complex HR data processing and streamline monthly salary calculation workflows.,Using Human Resource Information System,127aa6b9958f52c0,,0.7,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,SQL,Lacks the ability to use SQL for querying and managing large employee datasets within integrated HR systems.,Using Human Resource Information System,127aa6b9958f52c0,,0.7,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
66,695cbcbd1fa95d1eeecca0bf,"Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)",CNTT1167,EC2,Deploying and managing scalable compute instances to support data engineering infrastructure and processing tasks.,Google Colab,70f0d3e18d498cc9,Use Google Colab for Python development.,0.7,True,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
66,695cbcbd1fa95d1eeecca0bf,"Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)",CNTT1167,ECS/EKS,Managing and orchestrating containerized data applications using Amazon's container service or managed Kubernetes clusters.,Data Warehouse Knowledge,2271ef0581251939,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,CAN,Practical knowledge of the CAN protocol for reliable hardware-software communication in embedded control systems.,IoT Communication Protocols,ec0c117e7102e046,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,Ethernet,Skills in Ethernet protocol implementation and socket programming for networking hardware/software communication modules.,Basic Network Device Functionality,5bda4c7ea955425e,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,FPGA,Proficiency in using FPGA platforms to implement and test hardware-level control logic and system modules.,Arduino Programming,41f7231391c7adf4,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,IPCore,Experience deploying IPCore on hardware platforms to develop and optimize high-performance system-level features.,Programming Skills,acbf4c273a15345c,,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
67,696fcc8eb166038a822e475f,Kỹ Sư Lập Trình Hệ Thống,CNTT1153; CNTT1112,Java,Proficiency in Java for building high-performance system-level applications and control system modules as per requirements.,Execute code segments,b2bc6356f1ce6286,Complete assignments and solve problems related to Java programming.,0.7,True,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.
