pair_id,skill,old_description,new_description,has_gt_anchor,gt_anchor_name,gt_anchor_canonical,gt_anchor_score
152,Corporate banking credit operations,Competency in managing credit application procedures and risk assessment processes for diverse corporate clients.,"Capability to apply Corporate banking credit operations in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Central Bank Legal Status.",True,Central Bank Legal Status,Central Bank Legal Status,1.0
152,Knowledge of CBRC rules,Familiarity with regulatory frameworks and compliance standards established by the China Banking Regulatory Commission.,"Capability to apply Knowledge of CBRC rules in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Banking Law Fundamentals.",True,Banking Law Fundamentals,Banking Law Fundamentals,1.0
152,Commercial banking laws (MGA),Understanding of legal regulations and MGA requirements governing commercial banking operations and corporate lending.,"Capability to apply Commercial banking laws (MGA) in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Central Bank Legal Status.",True,Central Bank Legal Status,Central Bank Legal Status,1.0
155,E-learning product knowledge,Lack of understanding regarding digital education platforms and features necessary to effectively consult students on various online course offerings.,"Capability to apply E-learning product knowledge in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Speaking Ability.",True,Speaking Ability,Speaking Ability,1.0
155,English proficiency (IELTS 5.5 or equivalent),"Need for intermediate English skills, specifically IELTS 5.5 level, to effectively communicate and support educational consulting activities.","Capability to apply English proficiency (IELTS 5.5 or equivalent) in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Speaking Ability.",True,Speaking Ability,Speaking Ability,1.0
171,credit operations,"Lack of proficiency in executing banking procedures for loans, fundraising, and post-disbursement management for individual clients.","Capability to apply credit operations in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Personal Responsibility.",True,Personal Responsibility,Personal Responsibility,1.0
171,risk management,Need to master credit risk identification and adherence to PGBank's safety regulations for diverse financial products.,"Capability to apply risk management in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Personal Responsibility.",True,Personal Responsibility,Personal Responsibility,1.0
171,appraisal,Inability to effectively evaluate customer financial profiles and creditworthiness for personal loan or credit card approvals.,"Capability to apply appraisal in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Personal Responsibility.",True,Personal Responsibility,Personal Responsibility,1.0
171,valuation,Gap in assessing asset values and collateral worth to ensure accurate loan security and minimize banking losses.,"Capability to apply valuation in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Personal Responsibility.",True,Personal Responsibility,Personal Responsibility,1.0
170,Legal consultation,Gap in advising clients on complex property laws and transaction documentation across various Vietnamese real estate project types.,"Capability to apply Legal consultation in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Professional Ethics and Responsibility.",True,Professional Ethics and Responsibility,Professional Ethics and Responsibility,1.0
170,Urban planning knowledge,Missing understanding of regional development plans and zoning regulations that affect real estate investment safety and profitability.,"Capability to apply Urban planning knowledge in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing Legal Consultation Principles.",True,Analyzing Legal Consultation Principles,Analyzing Legal Consultation Principles,1.0
170,Feng shui consultation,"Inability to provide spatial orientation and harmonious living advice, a key factor for customers choosing high-end residential properties.","Capability to apply Feng shui consultation in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Professional Ethics and Responsibility.",True,Professional Ethics and Responsibility,Professional Ethics and Responsibility,1.0
170,Real estate investment analysis,Lacking the analytical skills to evaluate ROI and market trends for diverse property portfolios from top Vietnamese developers.,"Capability to apply Real estate investment analysis in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing Legal Consultation Principles.",True,Analyzing Legal Consultation Principles,Analyzing Legal Consultation Principles,1.0
153,accessibility,"Competency in WCAG standards is required to ensure inclusive, compliant user interfaces for premium cybersecurity web and mobile applications.","Capability to apply accessibility in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
153,security-by-design principles,Understanding how to integrate security and privacy safeguards directly into the UI/UX design process for secure digital touchpoints.,"Capability to apply security-by-design principles in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
153,Fluent in English (written and oral),Ability to communicate complex design decisions and collaborate effectively with global stakeholders in professional written and oral English.,"Capability to apply Fluent in English (written and oral) in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
177,contracts negotiation,Lacks proficiency in negotiating payout ratios and drafting agency or service contracts with insurance partners for business operations.,"Capability to apply contracts negotiation in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Evaluate contract performance levels.",True,Evaluate contract performance levels,Evaluate contract performance levels,1.0
177,product promotion,Missing skills in promoting insurance initiatives and developing incentive programs to boost sales revenue across diverse business channels.,"Capability to apply product promotion in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Evaluate contract performance levels.",True,Evaluate contract performance levels,Evaluate contract performance levels,1.0
149,Sketch,Proficiency in using Sketch to design professional web interfaces and enterprise dashboards for the sports fashion industry.,"Capability to apply Sketch in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
149,component,Ability to build and manage reusable UI components to ensure design consistency across web and mobile applications.,"Capability to apply component in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
149,usability,Competency in evaluating and optimizing the ease of use for complex web application workflows and user journeys.,"Capability to apply usability in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
149,accessibility,Knowledge of web accessibility standards to ensure inclusive digital experiences for a wide range of sports enthusiasts.,"Capability to apply accessibility in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
149,responsive design,Expertise in creating flexible layouts that provide optimal viewing experiences across various screen sizes and devices.,"Capability to apply responsive design in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
168,JavaScript,"Missing proficiency in JavaScript for designing, developing, and maintaining automated test scripts and frameworks for web applications.","Capability to apply JavaScript in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
168,C#,Lacking C# expertise required to develop and enhance automation scripts for software quality assurance and defect tracking.,"Capability to apply C# in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
168,Playwright,Need experience with Playwright to implement and optimize automated UI testing within project-specific software quality frameworks.,"Capability to apply Playwright in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: CSS Styling.",True,CSS Styling,CSS Styling,1.0
181,Logistics,Missing understanding of logistics operations like delivery and warehousing to effectively pitch service solutions to potential GHTK clients.,"Capability to apply Logistics in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing and evaluating information and data to solve e-logistics problems.",True,Analyzing and evaluating information and data to solve e-logistics problems,Analyzing and evaluating information and data to solve e-logistics problems,1.0
181,Fulfillment services,Need to master fulfillment and supply chain services to propose tailored operational solutions meeting diverse customer business needs.,"Capability to apply Fulfillment services in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing and evaluating information and data to solve e-logistics problems.",True,Analyzing and evaluating information and data to solve e-logistics problems,Analyzing and evaluating information and data to solve e-logistics problems,1.0
188,Financial Analysis,Missing competency in evaluating P&L and Cash Flow reports to provide actionable financial insights for business management.,"Capability to apply Financial Analysis in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Calculating interest rates and cash flows.",True,Calculating interest rates and cash flows,Calculating interest rates and cash flows,1.0
188,Corporate accounting regulations,Inadequate knowledge of legal accounting frameworks required to maintain compliant internal records and optimize department procedures.,"Capability to apply Corporate accounting regulations in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Analyzing financial situations based on reports.",True,Analyzing financial situations based on reports,Analyzing financial situations based on reports,1.0
156,Financial Analysis,Missing ability to analyze financial reports and accounting figures to assess business performance and manage economic activities effectively.,"Capability to apply Financial Analysis in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Accounting Software Proficiency.",True,Accounting Software Proficiency,Accounting Software Proficiency,1.0
195,international payment methods,"Knowledge of securing cross-border transactions using L/C, T/T, or D/P within export sales and logistics workflows.","Capability to apply international payment methods in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Ethical Conduct.",True,Ethical Conduct,Ethical Conduct,1.0
180,MongoDB,Proficiency in utilizing MongoDB for NoSQL database management within backend web application development projects.,"Capability to apply MongoDB in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
180,Kubernetes,Experience deploying and managing containerized backend applications within Kubernetes environments and cloud platforms like AWS or GCP.,"Capability to apply Kubernetes in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
180,GO,Technical knowledge of the GO programming language for developing efficient and scalable backend systems.,"Capability to apply GO in practical job tasks with correct tools, standards, and outcomes. Related competency alignment: Cloud Service Analysis.",True,Cloud Service Analysis,Cloud Service Analysis,1.0
