pair_id,hit@1_designed,hit@3_designed,hit@5_designed,hit@10_designed,identified_gaps,jd_title,gap_to_canonical_top1,gap_search_queries,gap_count,truth_count,hit@1_baseline,hit@3_baseline,hit@5_baseline,hit@10_baseline,delta_hit@1,delta_hit@3,delta_hit@5,delta_hit@10,best_rel_rank,relevant_in_top10,rr,canon_scores,canon_score_mean,canon_score_min,canon_score_max,query_text,q_related_count,q_context_count,q_role_count,q_len,domains,canon_bin
0,1,1,1,1,Azure; Redshift; BigQuery,Data Engineer (DBA),Azure -> cc975e69d79a6f6f:Cloud Concepts (1.0000); Redshift -> 2271ef0581251939:Data Warehouse Knowledge (0.9288); BigQuery -> 2271ef0581251939:Data Warehouse Knowledge (0.9754),"Azure -> Azure ; related microsoft azure cloud infrastructure ; related cloud infrastructure and deployment ; context capability to apply azure in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (DBA) ; Data Engineer DBA Designing Building Operating Public Cloud SQL Performance Tuning; Redshift -> Redshift ; related amazon cloud data warehouse ; related cloud infrastructure and deployment ; context capability to apply redshift in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (DBA) ; Data Engineer DBA Designing Building Operating Public Cloud SQL Performance Tuning; BigQuery -> BigQuery ; related google cloud data warehouse ; related cloud infrastructure and deployment ; related data engineering and database systems ; context capability to apply bigquery in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (DBA) ; Data Engineer DBA Designing Building Operating Public Cloud SQL Performance Tuning",3,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,"[1.0, 0.9288, 0.9754]",0.9680666666666666,0.9288,1.0,"Azure -> Azure ; related microsoft azure cloud infrastructure ; related cloud infrastructure and deployment ; context capability to apply azure in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (DBA) ; Data Engineer DBA Designing Building Operating Public Cloud SQL Performance Tuning; Redshift -> Redshift ; related amazon cloud data warehouse ; related cloud infrastructure and deployment ; context capability to apply redshift in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (DBA) ; Data Engineer DBA Designing Building Operating Public Cloud SQL Performance Tuning; BigQuery -> BigQuery ; related google cloud data warehouse ; related cloud infrastructure and deployment ; related data engineering and database systems ; context capability to apply bigquery in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (DBA) ; Data Engineer DBA Designing Building Operating Public Cloud SQL Performance Tuning",7,3,3,1018,"['cloud_devops', 'software_data_ai']",>=0.92
1,1,1,1,1,n8n; AI-Native; AI-Augmented Daily Workflows,Senior QA Automation Engineer,n8n -> 7209ac90fac75884:Automated Testing Techniques (0.7000); AI-Native -> 50779cd6819806ac:Research and develop AI applications (0.9469); AI-Augmented Daily Workflows -> 50779cd6819806ac:Research and develop AI applications (0.9768),"n8n -> n8n ; context capability to apply n8n in practical job tasks with correct tools, standards, and outcomes ; role Senior QA Automation Engineer ; Quality Architect Marketing Automation API Orchestration Enterprise Integrations End-to-End Integration Testing AI-Native Professional HubSpot n8n; AI-Native -> AI-Native ; related artificial intelligence and machine learning ; context capability to apply ai-native in practical job tasks with correct tools, standards, and outcomes ; role Senior QA Automation Engineer ; Quality Architect Marketing Automation API Orchestration Enterprise Integrations End-to-End Integration Testing AI-Native Professional HubSpot n8n; AI-Augmented Daily Workflows -> AI-Augmented Daily Workflows ; related artificial intelligence and machine learning ; context capability to apply ai-augmented daily workflows in practical job tasks with correct tools, standards, and outcomes ; role Senior QA Automation Engineer ; Quality Architect Marketing Automation API Orchestration Enterprise Integrations End-to-End Integration Testing AI-Native Professional HubSpot n8n",3,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,"[0.7, 0.9469, 0.9768]",0.8745666666666666,0.7,0.9768,"n8n -> n8n ; context capability to apply n8n in practical job tasks with correct tools, standards, and outcomes ; role Senior QA Automation Engineer ; Quality Architect Marketing Automation API Orchestration Enterprise Integrations End-to-End Integration Testing AI-Native Professional HubSpot n8n; AI-Native -> AI-Native ; related artificial intelligence and machine learning ; context capability to apply ai-native in practical job tasks with correct tools, standards, and outcomes ; role Senior QA Automation Engineer ; Quality Architect Marketing Automation API Orchestration Enterprise Integrations End-to-End Integration Testing AI-Native Professional HubSpot n8n; AI-Augmented Daily Workflows -> AI-Augmented Daily Workflows ; related artificial intelligence and machine learning ; context capability to apply ai-augmented daily workflows in practical job tasks with correct tools, standards, and outcomes ; role Senior QA Automation Engineer ; Quality Architect Marketing Automation API Orchestration Enterprise Integrations End-to-End Integration Testing AI-Native Professional HubSpot n8n",2,3,3,1098,['software_data_ai'],0.85-0.92
2,1,1,1,1,"GraphQL; Kubernetes; lock-free programming; log analysis; production issue resolution; cloud services (AWS, GCP)",Backend Developer (C++),"GraphQL -> 5b7e771749979e08:Blockchain Programming Languages (0.7000); Kubernetes -> 7e38cf9981554006:Blockchain Development Platforms (0.7000); lock-free programming -> b83fa23e4bc91bc9:Apply basic programming techniques (0.8827); log analysis -> d4f3369453884786:Technical Analysis (0.7000); production issue resolution -> 05ed568bc67ad6e3:Developing and solving specific problems in practice through information collection and planning implementation related to derivative securities (0.7000); cloud services (AWS, GCP) -> 81121f330a983b7f:Cloud computing (1.0000)","GraphQL -> GraphQL ; context capability to apply graphql in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; Kubernetes -> Kubernetes ; related container orchestration and scaling ; related cloud infrastructure and deployment ; context capability to apply kubernetes in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; lock-free programming -> lock-free programming ; context capability to apply lock-free programming in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; log analysis -> log analysis ; context capability to apply log analysis in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; production issue resolution -> production issue resolution ; context capability to apply production issue resolution in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; cloud services (AWS, GCP) -> cloud services (AWS, GCP) ; related cloud infrastructure and services ; related amazon web services cloud infrastructure ; related google cloud platform cloud infrastructure ; context capability to apply cloud services (aws, gcp) in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices",6,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,"[0.7, 0.7, 0.8827, 0.7, 0.7, 1.0]",0.7804500000000001,0.7,1.0,"GraphQL -> GraphQL ; context capability to apply graphql in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; Kubernetes -> Kubernetes ; related container orchestration and scaling ; related cloud infrastructure and deployment ; context capability to apply kubernetes in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; lock-free programming -> lock-free programming ; context capability to apply lock-free programming in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; log analysis -> log analysis ; context capability to apply log analysis in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; production issue resolution -> production issue resolution ; context capability to apply production issue resolution in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices; cloud services (AWS, GCP) -> cloud services (AWS, GCP) ; related cloud infrastructure and services ; related amazon web services cloud infrastructure ; related google cloud platform cloud infrastructure ; context capability to apply cloud services (aws, gcp) in practical job tasks with correct tools, standards, and outcomes ; role Backend Developer (C++) ; backend developer C++ trading systems cryptocurrency trading stock trading forex trading real-time APIs microservices",5,6,6,2074,"['cloud_devops', 'software_data_ai']",0.75-0.85
4,1,1,1,1,Google Cloud Deployment Manager; Go; encryption; disaster recovery strategies,Cloud System Engineer (GCP),Google Cloud Deployment Manager -> 81121f330a983b7f:Cloud computing (0.9844); Go -> cc975e69d79a6f6f:Cloud Concepts (0.9234); encryption -> 448e8a55f0c63487:Cloud Security Architecture (0.9797); disaster recovery strategies -> 448e8a55f0c63487:Cloud Security Architecture (0.9858),"Google Cloud Deployment Manager -> Google Cloud Deployment Manager ; related cloud infrastructure and services ; related cloud infrastructure and deployment ; related software engineering and programming ; context capability to apply google cloud deployment manager in practical job tasks with correct tools, standards, and outcomes ; role Cloud System Engineer (GCP) ; Infrastructure Management Cloud Infrastructure GCP Terraform Google Cloud Deployment Manager Monitoring Optimization Security; Go -> Go ; related software engineering and programming ; context capability to apply go in practical job tasks with correct tools, standards, and outcomes ; role Cloud System Engineer (GCP) ; Infrastructure Management Cloud Infrastructure GCP Terraform Google Cloud Deployment Manager Monitoring Optimization Security; encryption -> encryption ; context capability to apply encryption in practical job tasks with correct tools, standards, and outcomes ; role Cloud System Engineer (GCP) ; Infrastructure Management Cloud Infrastructure GCP Terraform Google Cloud Deployment Manager Monitoring Optimization Security; disaster recovery strategies -> disaster recovery strategies ; context capability to apply disaster recovery strategies in practical job tasks with correct tools, standards, and outcomes ; role Cloud System Engineer (GCP) ; Infrastructure Management Cloud Infrastructure GCP Terraform Google Cloud Deployment Manager Monitoring Optimization Security",4,4,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,"[0.9844, 0.9234, 0.9797, 0.9858]",0.9683250000000001,0.9234,0.9858,"Google Cloud Deployment Manager -> Google Cloud Deployment Manager ; related cloud infrastructure and services ; related cloud infrastructure and deployment ; related software engineering and programming ; context capability to apply google cloud deployment manager in practical job tasks with correct tools, standards, and outcomes ; role Cloud System Engineer (GCP) ; Infrastructure Management Cloud Infrastructure GCP Terraform Google Cloud Deployment Manager Monitoring Optimization Security; Go -> Go ; related software engineering and programming ; context capability to apply go in practical job tasks with correct tools, standards, and outcomes ; role Cloud System Engineer (GCP) ; Infrastructure Management Cloud Infrastructure GCP Terraform Google Cloud Deployment Manager Monitoring Optimization Security; encryption -> encryption ; context capability to apply encryption in practical job tasks with correct tools, standards, and outcomes ; role Cloud System Engineer (GCP) ; Infrastructure Management Cloud Infrastructure GCP Terraform Google Cloud Deployment Manager Monitoring Optimization Security; disaster recovery strategies -> disaster recovery strategies ; context capability to apply disaster recovery strategies in practical job tasks with correct tools, standards, and outcomes ; role Cloud System Engineer (GCP) ; Infrastructure Management Cloud Infrastructure GCP Terraform Google Cloud Deployment Manager Monitoring Optimization Security",4,4,4,1463,['cloud_devops'],>=0.92
7,1,1,1,1,"Docker; Networking (TCP/IP Routing, Switching); vCenter; Virtualization Systems Management (Full stack)",System Admin,"Docker -> 1a717d62a78e8be9:Linux Distributions (0.7000); Networking (TCP/IP Routing, Switching) -> d301208b9177b851:TCP/IP Protocols (1.0000); vCenter -> a3d7bb38562108eb:Data Center Virtualization Architecture (0.7000); Virtualization Systems Management (Full stack) -> 419f2ea7a8374ab5:Virtualization Concepts (0.9991)","Docker -> Docker ; related containerization and deployment ; related cloud infrastructure and deployment ; context capability to apply docker in practical job tasks with correct tools, standards, and outcomes ; role System Admin ; System Administrator Cybersecurity Linux Ubuntu CentOS VMware ESXi vCenter Docker; Networking (TCP/IP Routing, Switching) -> Networking (TCP/IP Routing, Switching) ; context capability to apply networking (tcp/ip routing, switching) in practical job tasks with correct tools, standards, and outcomes ; role System Admin ; System Administrator Cybersecurity Linux Ubuntu CentOS VMware ESXi vCenter Docker; vCenter -> vCenter ; context capability to apply vcenter in practical job tasks with correct tools, standards, and outcomes ; role System Admin ; System Administrator Cybersecurity Linux Ubuntu CentOS VMware ESXi vCenter Docker; Virtualization Systems Management (Full stack) -> Virtualization Systems Management (Full stack) ; context capability to apply virtualization systems management (full stack) in practical job tasks with correct tools, standards, and outcomes ; role System Admin ; System Administrator Cybersecurity Linux Ubuntu CentOS VMware ESXi vCenter Docker",4,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,"[0.7, 1.0, 0.7, 0.9991]",0.849775,0.7,1.0,"Docker -> Docker ; related containerization and deployment ; related cloud infrastructure and deployment ; context capability to apply docker in practical job tasks with correct tools, standards, and outcomes ; role System Admin ; System Administrator Cybersecurity Linux Ubuntu CentOS VMware ESXi vCenter Docker; Networking (TCP/IP Routing, Switching) -> Networking (TCP/IP Routing, Switching) ; context capability to apply networking (tcp/ip routing, switching) in practical job tasks with correct tools, standards, and outcomes ; role System Admin ; System Administrator Cybersecurity Linux Ubuntu CentOS VMware ESXi vCenter Docker; vCenter -> vCenter ; context capability to apply vcenter in practical job tasks with correct tools, standards, and outcomes ; role System Admin ; System Administrator Cybersecurity Linux Ubuntu CentOS VMware ESXi vCenter Docker; Virtualization Systems Management (Full stack) -> Virtualization Systems Management (Full stack) ; context capability to apply virtualization systems management (full stack) in practical job tasks with correct tools, standards, and outcomes ; role System Admin ; System Administrator Cybersecurity Linux Ubuntu CentOS VMware ESXi vCenter Docker",2,4,4,1209,['cloud_devops'],0.75-0.85
9,0,0,0,1,Python; SQL; AWS; SEO; Lean,Chuyên Viên Nhân Sự Tổng Hợp,Python -> abf415901e538ca7:Python Programming Language (0.9667); SQL -> 0903a2efa00ef879:SQL Database Management (0.9724); AWS -> 81121f330a983b7f:Cloud computing (0.9396); SEO -> 7175b5240094d556:SEO Tools Proficiency (1.0000); Lean -> 43c84d9fcc178867:Human Resource Management in Insurance (0.8574),"Python -> Python ; related python programming and scripting ; related software engineering and programming ; context capability to apply python in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration; SQL -> SQL ; related structured query language database querying ; related data engineering and database systems ; context capability to apply sql in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration; AWS -> AWS ; related amazon web services cloud infrastructure ; related cloud infrastructure and deployment ; context capability to apply aws in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration; SEO -> SEO ; context capability to apply seo in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration; Lean -> Lean ; context capability to apply lean in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration",5,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.14285714285714285,"[0.9667, 0.9724, 0.9396, 1.0, 0.8574]",0.9472200000000001,0.8574,1.0,"Python -> Python ; related python programming and scripting ; related software engineering and programming ; context capability to apply python in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration; SQL -> SQL ; related structured query language database querying ; related data engineering and database systems ; context capability to apply sql in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration; AWS -> AWS ; related amazon web services cloud infrastructure ; related cloud infrastructure and deployment ; context capability to apply aws in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration; SEO -> SEO ; context capability to apply seo in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration; Lean -> Lean ; context capability to apply lean in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Nhân Sự Tổng Hợp ; Human Resources Compensation & Benefits Recruitment Office Management E-commerce Salary Processing Social Insurance Tax Registration",6,5,5,1719,"['cloud_devops', 'software_data_ai', 'sales_marketing']",>=0.92
12,1,1,1,1,Docker; containerization; ECS/EKS,"Data Engineer (Spark, AWS Glue) (Onboard ASAP)",Docker -> 70f0d3e18d498cc9:Google Colab (0.7000); containerization -> fc76c565abf59081:Machine Learning Techniques (0.8335); ECS/EKS -> 70f0d3e18d498cc9:Google Colab (0.7000),"Docker -> Docker ; related containerization and deployment ; related cloud infrastructure and deployment ; context capability to apply docker in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (Spark, AWS Glue) (Onboard ASAP) ; Data Engineer Spark AWS Glue ETL Python AWS services containerization; containerization -> containerization ; related artificial intelligence and machine learning ; context capability to apply containerization in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (Spark, AWS Glue) (Onboard ASAP) ; Data Engineer Spark AWS Glue ETL Python AWS services containerization; ECS/EKS -> ECS/EKS ; related container orchestration on aws kubernetes ; related cloud infrastructure and deployment ; context capability to apply ecs and eks in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (Spark, AWS Glue) (Onboard ASAP) ; Data Engineer Spark AWS Glue ETL Python AWS services containerization",3,3,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,"[0.7, 0.8335, 0.7]",0.7445,0.7,0.8335,"Docker -> Docker ; related containerization and deployment ; related cloud infrastructure and deployment ; context capability to apply docker in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (Spark, AWS Glue) (Onboard ASAP) ; Data Engineer Spark AWS Glue ETL Python AWS services containerization; containerization -> containerization ; related artificial intelligence and machine learning ; context capability to apply containerization in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (Spark, AWS Glue) (Onboard ASAP) ; Data Engineer Spark AWS Glue ETL Python AWS services containerization; ECS/EKS -> ECS/EKS ; related container orchestration on aws kubernetes ; related cloud infrastructure and deployment ; context capability to apply ecs and eks in practical job tasks with correct tools, standards, and outcomes ; role Data Engineer (Spark, AWS Glue) (Onboard ASAP) ; Data Engineer Spark AWS Glue ETL Python AWS services containerization",5,3,3,1020,"['cloud_devops', 'software_data_ai']",<=0.75
14,0,0,0,0,presentation skills; technical analysis and solution design; group work and communication skills,Business Analyst (Domain Bank/Fintech),presentation skills -> dc08258145c09363:Presentation skills (0.9824); technical analysis and solution design -> 2f0071b9685d8bf8:Business Analysis (0.8455); group work and communication skills -> dd74887c197df3ad:Effective Group Work Skills (0.9327),"presentation skills -> presentation skills ; context capability to apply presentation skills in practical job tasks with correct tools, standards, and outcomes ; role Business Analyst (Domain Bank/Fintech) ; Business Analyst Banking/Fintech BPMN UML use cases user stories presentation skills process modeling; technical analysis and solution design -> technical analysis and solution design ; context capability to apply technical analysis and solution design in practical job tasks with correct tools, standards, and outcomes ; role Business Analyst (Domain Bank/Fintech) ; Business Analyst Banking/Fintech BPMN UML use cases user stories presentation skills process modeling; group work and communication skills -> group work and communication skills ; context capability to apply group work and communication skills in practical job tasks with correct tools, standards, and outcomes ; role Business Analyst (Domain Bank/Fintech) ; Business Analyst Banking/Fintech BPMN UML use cases user stories presentation skills process modeling",3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,,"[0.9824, 0.8455, 0.9327]",0.9202,0.8455,0.9824,"presentation skills -> presentation skills ; context capability to apply presentation skills in practical job tasks with correct tools, standards, and outcomes ; role Business Analyst (Domain Bank/Fintech) ; Business Analyst Banking/Fintech BPMN UML use cases user stories presentation skills process modeling; technical analysis and solution design -> technical analysis and solution design ; context capability to apply technical analysis and solution design in practical job tasks with correct tools, standards, and outcomes ; role Business Analyst (Domain Bank/Fintech) ; Business Analyst Banking/Fintech BPMN UML use cases user stories presentation skills process modeling; group work and communication skills -> group work and communication skills ; context capability to apply group work and communication skills in practical job tasks with correct tools, standards, and outcomes ; role Business Analyst (Domain Bank/Fintech) ; Business Analyst Banking/Fintech BPMN UML use cases user stories presentation skills process modeling",0,3,3,1036,"['software_data_ai', 'english_communication']",>=0.92
17,1,1,1,1,PowerPoint; accounting software (Fast),"Nhân Viên Kế Toán Tổng Hợp, 1 Năm Kinh Nghiệm, Tại Hà Nội, Thu Nhập 10 -30 Triệu",PowerPoint -> 684be5d9399c8fe6:Accounting Software Skills (0.9953); accounting software (Fast) -> 684be5d9399c8fe6:Accounting Software Skills (1.0000),"PowerPoint -> PowerPoint ; context capability to apply powerpoint in practical job tasks with correct tools, standards, and outcomes ; role Nhân Viên Kế Toán Tổng Hợp, 1 Năm Kinh Nghiệm, Tại Hà Nội, Thu Nhập 10 -30 Triệu ; General Accountant 1 Year Experience Hanoi Salary Range 10-30 Million VND Accounting Software Financial Reporting Analytical Skills; accounting software (Fast) -> accounting software (Fast) ; context capability to apply accounting software (fast) in practical job tasks with correct tools, standards, and outcomes ; role Nhân Viên Kế Toán Tổng Hợp, 1 Năm Kinh Nghiệm, Tại Hà Nội, Thu Nhập 10 -30 Triệu ; General Accountant 1 Year Experience Hanoi Salary Range 10-30 Million VND Accounting Software Financial Reporting Analytical Skills",2,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[0.9953, 1.0]",0.9976499999999999,0.9953,1.0,"PowerPoint -> PowerPoint ; context capability to apply powerpoint in practical job tasks with correct tools, standards, and outcomes ; role Nhân Viên Kế Toán Tổng Hợp, 1 Năm Kinh Nghiệm, Tại Hà Nội, Thu Nhập 10 -30 Triệu ; General Accountant 1 Year Experience Hanoi Salary Range 10-30 Million VND Accounting Software Financial Reporting Analytical Skills; accounting software (Fast) -> accounting software (Fast) ; context capability to apply accounting software (fast) in practical job tasks with correct tools, standards, and outcomes ; role Nhân Viên Kế Toán Tổng Hợp, 1 Năm Kinh Nghiệm, Tại Hà Nội, Thu Nhập 10 -30 Triệu ; General Accountant 1 Year Experience Hanoi Salary Range 10-30 Million VND Accounting Software Financial Reporting Analytical Skills",0,2,2,758,['finance_risk'],>=0.92
21,0,0,0,1,Financial banking operations knowledge; Credit profiling and evaluation; Product advisory,Chuyên Viên Khách Hàng Cá Nhân - Hồ Chí Minh,Financial banking operations knowledge -> bed622c72ddf016b:Banking Operations (0.9604); Credit profiling and evaluation -> d5cb99a045b2a05b:Credit Activities (0.9196); Product advisory -> 265d372517aa5b25:Understanding customer service after sales (0.9475),"Financial banking operations knowledge -> Financial banking operations knowledge ; context capability to apply financial banking operations knowledge in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Khách Hàng Cá Nhân - Hồ Chí Minh ; Customer Service Specialist Sales Customer Care Banking Finance; Credit profiling and evaluation -> Credit profiling and evaluation ; context capability to apply credit profiling and evaluation in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Khách Hàng Cá Nhân - Hồ Chí Minh ; Customer Service Specialist Sales Customer Care Banking Finance; Product advisory -> Product advisory ; context capability to apply product advisory in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Khách Hàng Cá Nhân - Hồ Chí Minh ; Customer Service Specialist Sales Customer Care Banking Finance",3,3,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,6.0,2.0,0.16666666666666666,"[0.9604, 0.9196, 0.9475]",0.9424999999999999,0.9196,0.9604,"Financial banking operations knowledge -> Financial banking operations knowledge ; context capability to apply financial banking operations knowledge in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Khách Hàng Cá Nhân - Hồ Chí Minh ; Customer Service Specialist Sales Customer Care Banking Finance; Credit profiling and evaluation -> Credit profiling and evaluation ; context capability to apply credit profiling and evaluation in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Khách Hàng Cá Nhân - Hồ Chí Minh ; Customer Service Specialist Sales Customer Care Banking Finance; Product advisory -> Product advisory ; context capability to apply product advisory in practical job tasks with correct tools, standards, and outcomes ; role Chuyên Viên Khách Hàng Cá Nhân - Hồ Chí Minh ; Customer Service Specialist Sales Customer Care Banking Finance",0,3,3,919,['finance_risk'],>=0.92
