pair_id,jd_id,gap_source,gap_count,identified_gaps,groundtruth_technical_gaps,gap_match_details,missed_gap_confusions,canonical_skill_count,canonical_skill_ids,canonical_skill_labels,gap_to_canonical_top1,truth_count,truth_courses,pred_top10,pred_top10_titles,overlap_top10,hit@1,hit@3,hit@5,hit@10
0,695cb6e11fa95d1eeecca0b2,groundtruth_dataset,3,Azure; Redshift; BigQuery,Azure; Redshift; BigQuery,<groundtruth_gap_source>,,7,81121f330a983b7f; cc975e69d79a6f6f; b160bc1ca65d65b1; 70f0d3e18d498cc9; 454349e422f05297; 983b5e0fb845ddb8; 595875b1b5164cb6,Cloud computing; Cloud Concepts; Cloud Computing Fundamentals; Google Colab; R; Managing large datasets; Power BI,Azure -> 81121f330a983b7f:Cloud computing (0.8839); Redshift -> cc975e69d79a6f6f:Cloud Concepts (0.8376); BigQuery -> 983b5e0fb845ddb8:Managing large datasets (0.8564),2,CNTT1167; CNTT1186,TKkD1127; CNTT1186; CNTT1167; CNTT1180; KTHT1104; TOTC1108; CNTT1198,Phân tích dữ liệu lớn; Advanced Technologies in Information and Communication Technology; Cloud Computing; Python Programming; Data Analytics for Accounting; The models for analyzing and evaluating the financial assets 1; Cloud Service Security,CNTT1186; CNTT1167,0.0,1.0,1.0,1.0
1,694a8c5247743a24b54ffb04,groundtruth_dataset,3,n8n; AI-Native; AI-Augmented Daily Workflows,n8n; AI-Native; AI-Augmented Daily Workflows,<groundtruth_gap_source>,,7,d199bd441c0c4d67; e37a59b5b57ec6ac; d4b75940e6b27fe2; 50779cd6819806ac; 803b3eb2b6af0271; 2e7fdab48fb3e78f; 1f64157c6b5ff60c,Tools for Organizing Plan Implementation; Support system analysis; Smart System Deployment; Research and develop AI applications; Artificial intelligence; Smart Technologies; Process Role Understanding,n8n -> d199bd441c0c4d67:Tools for Organizing Plan Implementation (0.8561); AI-Native -> 50779cd6819806ac:Research and develop AI applications (0.8691); AI-Augmented Daily Workflows -> 50779cd6819806ac:Research and develop AI applications (0.8650),3,CNTT1140; TIHT1123; CNTT1186,CNTT1186; TIHT1105; CNTT1154; QTCL1111; PTKT1109; TNKT1157; CNTT1140,Advanced Technologies in Information and Communication Technology; Advanced Programming; Internet of Things; Business Process Management; Business Planning; Agribusiness supply chain management; Artificial Intelligence,CNTT1186; CNTT1140,1.0,1.0,1.0,1.0
2,696ee8cab166038a822e471f,groundtruth_dataset,6,"GraphQL; Kubernetes; lock-free programming; log analysis; production issue resolution; cloud services (AWS, GCP)","GraphQL; Kubernetes; lock-free programming; log analysis; production issue resolution; cloud services (AWS, GCP)",<groundtruth_gap_source>,,15,8b6799760a8163c1; cb62eba40b93615e; bee590cd707e7172; cc975e69d79a6f6f; 81121f330a983b7f; a468720e1a5dc0cb; 20eee9e87acff49b; 79ff3383edd2e8dd; c6c42d9e60786246; d9363d607f47f563; c45b8ce2c3b0c625; 586777689f2a77a4; 221a2a27bf9df346; 83adee593f617a36; aac321a9fc903a23,RESTful API Development; Designing applications with MongoDB; JavaScript Programming; Cloud Concepts; Cloud computing; Cloud Service Analysis; Process Communication and Synchronization; Open source programming languages; Programming Techniques; Monitoring and Auditing; User Account Monitoring; Audit Data Analysis; Problem Identification and Resolution; Overall Production Planning; Problem identification,"GraphQL -> 8b6799760a8163c1:RESTful API Development (0.8282); Kubernetes -> cc975e69d79a6f6f:Cloud Concepts (0.8492); lock-free programming -> 20eee9e87acff49b:Process Communication and Synchronization (0.8359); log analysis -> d9363d607f47f563:Monitoring and Auditing (0.8895); production issue resolution -> 221a2a27bf9df346:Problem Identification and Resolution (0.8613); cloud services (AWS, GCP) -> 81121f330a983b7f:Cloud computing (0.9491)",1,CNTT1167,CNTT1167; CNTT1188; CNTT1198; CNTT1107; KTHT1104; TNKT1157; QLXH1105; PTCC1128; MTKT1170; CNTT1199,Cloud Computing; Web Programming; Cloud Service Security; Operating Systems; Data Analytics for Accounting; Agribusiness supply chain management; Public Services Management; Socio-Economic Research Methods; Environmental Physics; Software and Database Security,CNTT1167,1.0,1.0,1.0,1.0
4,695cb6e11fa95d1eeecca0b3,groundtruth_dataset,4,Google Cloud Deployment Manager; Go; encryption; disaster recovery strategies,Google Cloud Deployment Manager; Go; encryption; disaster recovery strategies,<groundtruth_gap_source>,,12,55dcfba3a15e9371; 70f0d3e18d498cc9; 4b8eca6ed9475d18; 454349e422f05297; 79ff3383edd2e8dd; 34107c894ddfd639; 9899f1fec6613468; 6ea013dfbbf35318; f33ab0b6b6be7183; 53a54e806a70f753; 75c12111651f2778; 71815a0c524757ea,Deploying and managing web applications; Google Colab; Service Management; R; Open source programming languages; Search Functionality Programming; AES; RSA Cryptosystem; Cryptography Techniques; Data Backup and Recovery; Database Backup and Recovery; Risk Mitigation Strategies,Google Cloud Deployment Manager -> 55dcfba3a15e9371:Deploying and managing web applications (0.8413); Go -> 454349e422f05297:R (0.8056); encryption -> 9899f1fec6613468:AES (0.9577); disaster recovery strategies -> 53a54e806a70f753:Data Backup and Recovery (0.8917),4,CNTT1198; CNTT1167; CNTT1168; CNTT11105,TIKT1134; CNTT1168; CNTT1197; TIKT1135; CNTT1133; CNTT1180; TOTC1108; CNTT1199; TOCB1107; CNTT11105,Web Applications Development; An toàn và bảo mật thông tin; Cybersecurity; Development of Open Source Software and Applications; Application Programming; Python Programming; The models for analyzing and evaluating the financial assets 1; Software and Database Security; Discrete Mathematics; Cryptography and Information Security,CNTT1168; CNTT11105,0.0,1.0,1.0,1.0
7,6961e074b166038a822e41c9,groundtruth_dataset,4,"Docker; Networking (TCP/IP Routing, Switching); vCenter; Virtualization Systems Management (Full stack)","Docker; Networking (TCP/IP Routing, Switching); vCenter; Virtualization Systems Management (Full stack)",<groundtruth_gap_source>,,10,70f0d3e18d498cc9; 81121f330a983b7f; cc975e69d79a6f6f; cce4887ca5118b95; 82a2c9e39ba6e496; d301208b9177b851; a3d7bb38562108eb; 2e3e746b47bf09af; 419f2ea7a8374ab5; c2c2c13b5e8fb59e,Google Colab; Cloud computing; Cloud Concepts; Fundamental Understanding of Computer Networks; Wide Area Networks (WAN); TCP/IP Protocols; Data Center Virtualization Architecture; Storage Virtualization Mechanisms; Virtualization Concepts; Windows Server Organization and Management,"Docker -> 70f0d3e18d498cc9:Google Colab (0.8576); Networking (TCP/IP Routing, Switching) -> cce4887ca5118b95:Fundamental Understanding of Computer Networks (0.9052); vCenter -> a3d7bb38562108eb:Data Center Virtualization Architecture (0.8804); Virtualization Systems Management (Full stack) -> 2e3e746b47bf09af:Storage Virtualization Mechanisms (0.8826)",2,CNTT1145; CNTT1121,CNTT1145; CNTT1114; CNTT1121; CNTT1186; CNTT1167; CNTT1180,Virtualization Technologies; Computer Network and Data Communication; Network Management; Advanced Technologies in Information and Communication Technology; Cloud Computing; Python Programming,CNTT1145; CNTT1121,1.0,1.0,1.0,1.0
9,697a65cfb166038a822e4d2c,groundtruth_dataset,5,Python; SQL; AWS; SEO; Lean,Python; SQL; AWS; SEO; Lean,<groundtruth_gap_source>,,15,11a4a60b518bf249; c44d9221d54651ad; abf415901e538ca7; 0903a2efa00ef879; 3117f8304b70d114; 79c41baebfebd6a5; 81121f330a983b7f; cc975e69d79a6f6f; b160bc1ca65d65b1; 7175b5240094d556; c280c1a79c57c35b; 9aae78751eb7d681; f874a7f9dbb8cb2e; 8bd7ecf2b4185828; a6fe59fdcf24f101,Python; Python Programming; Python Programming Language; SQL Database Management; SQL Programming; SQL Server; Cloud computing; Cloud Concepts; Cloud Computing Fundamentals; SEO Tools Proficiency; Website and Social Media Management; Query Optimization; Generalizing lessons learned; Continuous Learning; Basic Syntax Programming,Python -> 11a4a60b518bf249:Python (1.0000); SQL -> 0903a2efa00ef879:SQL Database Management (0.9130); AWS -> 81121f330a983b7f:Cloud computing (0.8744); SEO -> 7175b5240094d556:SEO Tools Proficiency (0.9186); Lean -> f874a7f9dbb8cb2e:Generalizing lessons learned (0.8402),6,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,TIKT1130; CNTT1186; CNTT1187; CNTT1167; CNTT1152; CNTT1133; DLKS1131; CNTT11105; TIKT1132; TIKT1135,Database; Advanced Technologies in Information and Communication Technology; Data Analysis Programming; Cloud Computing; Database Management Systems; Application Programming; E-Tourism Business; Cryptography and Information Security; Online Marketing; Development of Open Source Software and Applications,TIKT1130; CNTT1152,1.0,1.0,1.0,1.0
12,694a8c5247743a24b54ffb03,groundtruth_dataset,3,Docker; containerization; ECS/EKS,Docker; containerization; ECS/EKS,<groundtruth_gap_source>,,7,70f0d3e18d498cc9; 81121f330a983b7f; cc975e69d79a6f6f; 2e3e746b47bf09af; 74223147079737f9; 419f2ea7a8374ab5; a468720e1a5dc0cb,Google Colab; Cloud computing; Cloud Concepts; Storage Virtualization Mechanisms; Resource Management; Virtualization Concepts; Cloud Service Analysis,Docker -> 70f0d3e18d498cc9:Google Colab (0.8576); containerization -> 2e3e746b47bf09af:Storage Virtualization Mechanisms (0.8378); ECS/EKS -> cc975e69d79a6f6f:Cloud Concepts (0.8710),3,CNTT1167; CNTT1198; CNTT1186,CNTT1145; CNTT1167; CNTT1186; QTTH1133; TNKT1155; BHKT1120; BHKT1116; TNKT1140; TNTN1126; CNTT1180,Virtualization Technologies; Cloud Computing; Advanced Technologies in Information and Communication Technology; New Venture Creation; Kinh tế Lâm nghiệp; Social Insurance Management 1; Reinsurance; Economics and Management of Community Development; Natural Resources Management 2; Python Programming,CNTT1167; CNTT1186,0.0,1.0,1.0,1.0
14,6961e0b5b166038a822e41cb,groundtruth_dataset,3,presentation skills; technical analysis and solution design; group work and communication skills,presentation skills; technical analysis and solution design; group work and communication skills,<groundtruth_gap_source>,,9,dc08258145c09363; c65c004a70156d0b; 37d573e079354b91; d4f3369453884786; 0988aeb72312e84c; 61f6a1dc543b0f55; 85d7957063524c2b; 236f5c4072f9eaa8; 7252b929fd95c559,Presentation skills; Presentation and presentation skills; Effective Presentation Skills; Technical Analysis; Information Analysis and Problem Solving; Analyzing and Defining Solutions; Group work skills; Teamwork skills; Teamwork and Group Management Skills,presentation skills -> dc08258145c09363:Presentation skills (0.9810); technical analysis and solution design -> d4f3369453884786:Technical Analysis (0.8979); group work and communication skills -> 85d7957063524c2b:Group work skills (0.9747),1,CNTT1137,LUKD1108; TNTN1132; LUKD1194; LUCS1104; KHMI1112; MTDT1114; LUKD1110; TNTN1111; LUCS1128; QLCN1104,Labor Law; Natural Resources Policy; Law on Land; Constitutional Law; Investment analysis in Financial Markets; Urban and Regional Planning; Law on Commerce 1; English for Natural Resources Economics; Doctrines of State and Law 1; Science and Technology Policy,,0.0,0.0,0.0,0.0
17,6961d9bbb166038a822e41b1,groundtruth_dataset,2,PowerPoint; accounting software (Fast),PowerPoint; accounting software (Fast),<groundtruth_gap_source>,,6,b45dfaa7fc8f1653; 7f0a76ce26d240f3; a6f687c6f5a9e7e0; 5cda33bd7b0feb89; 9de5d59385bb9b04; 83289d8e764059df,Microsoft Excel; Microsoft Project; Excel Software; Specialized Accounting Software for Business; Accounting Software Evaluation; Microsoft Excel for Accounting,PowerPoint -> b45dfaa7fc8f1653:Microsoft Excel (0.8856); accounting software (Fast) -> 5cda33bd7b0feb89:Specialized Accounting Software for Business (0.9145),1,KTHT1104,DTKT1149; TIHT1119; TIKT1117; TOkt1140; TOkt1144,Chuyên đề Tin học quản lý đầu tư; Computer-based Accounting; Accounting Informatics; Input-Output Model; Optimization,,0.0,0.0,0.0,0.0
21,6961e10bb166038a822e41d0,groundtruth_dataset,3,Financial banking operations knowledge; Credit profiling and evaluation; Product advisory,Financial banking operations knowledge; Credit profiling and evaluation; Product advisory,<groundtruth_gap_source>,,8,bed622c72ddf016b; ce22f37fe7c425ca; 6539998286cc9396; 22b38dee90bbb4f3; dd90dcc73f5bca94; 1fc67c3010a7acc2; 835fc1daf02cd83c; cf0be45b56d1d41d,Banking Operations; Banking Operations Analysis; Bank Functions Understanding; Credit Risk Modeling; Risk Evaluation Methods; Activity Evaluation; Policy Recommendation; Product Decisions,Financial banking operations knowledge -> bed622c72ddf016b:Banking Operations (0.9462); Credit profiling and evaluation -> 22b38dee90bbb4f3:Credit Risk Modeling (0.8912); Product advisory -> 835fc1daf02cd83c:Policy Recommendation (0.8811),3,NHTM 1121; NHTM 1111; MKMA1101,QTKD1133; NLKT1118; TOTC1121; KTKE1110; MKMA1112; NHTM 1102; BHKT1163; NNTM 1150,Supply Chain Management; Occupational Health and Safety Management; Quantitative risk management 2; Public Accounting 2; English for Marketing; Commercial Banking 1; Risk Management in Insurance; English for Banking and Finance – in English,,0.0,0.0,0.0,0.0
